,title,genres,combined_features,index
77,Tees Maar Khan,Comedy|Crime,   Tees   Maar   Khan Comedy   Crime  ,77
78,Housefull,Comedy,   Housefull Comedy  ,78
79,Striker,Action|Crime|Drama,   Striker Action   Crime   Drama  ,79
80,Break Ke Baad,Comedy|Drama|Romance,   Break   Ke   Baad Comedy   Drama   Romance  ,80
81,Chase,Action|Crime|Drama,   Chase Action   Crime   Drama  ,81
82,Click,Drama|Horror|Mystery,   Click Drama   Horror   Mystery  ,82
83,Shaapit: The Cursed,Adventure|Horror|Romance,   Shaapit   The   Cursed Adventure   Horror   Romance  ,83
84,Toh Baat Pakki!,Comedy|Drama,   Toh   Baat   Pakki   Comedy   Drama  ,84
85,Zokkomon,Action|Adventure,   Zokkomon Action   Adventure  ,85
86,Aakhari Decision,Action|Drama|Thriller,   Aakhari   Decision Action   Drama   Thriller  ,86
87,Lafangey Parindey,Action|Drama|Romance,   Lafangey   Parindey Action   Drama   Romance  ,87
88,Mittal v/s Mittal,Drama,   Mittal  v  s   Mittal Drama  ,88
89,City of Gold - Mumbai 1982: Ek Ankahee Kahani,Crime|Drama,   City  of   Gold   Mumbai  1982   Ek   Ankahee   Kahani Crime   Drama  ,89
90,LSD: Love Sex Aur Dhokha,Comedy|Crime|Drama,   L S D   Love   Sex   Aur   Dhokha Comedy   Crime   Drama  ,90
91,Malik Ek,Biography|Drama|History,   Malik   Ek Biography   Drama   History  ,91
92,Prem Kaa Game,Comedy|Drama,   Prem   Kaa   Game Comedy   Drama  ,92
93,Band Baaja Baaraat,Comedy|Drama|Romance,   Band   Baaja   Baaraat Comedy   Drama   Romance  ,93
94,Rokkk,Drama|Horror|Mystery,   Rokkk Drama   Horror   Mystery  ,94
95,Phoonk 2,Drama|Horror|Mystery,   Phoonk  2 Drama   Horror   Mystery  ,95
96,Dum Maaro Dum,Action|Crime|Drama,   Dum   Maaro   Dum Action   Crime   Drama  ,96
97,The Japanese Wife,Drama|Romance,   The   Japanese   Wife Drama   Romance  ,97
98,Fearless,Action|Comedy,   Fearless Action   Comedy  ,98
99,Na Ghar Ke Na Ghaat Ke,Comedy|Drama,   Na   Ghar   Ke   Na   Ghaat   Ke Comedy   Drama  ,99
100,Paan Singh Tomar,Action|Biography|Crime,   Paan   Singh   Tomar Action   Biography   Crime  ,100
101,Sukhmani,Drama,   Sukhmani Drama  ,101
102,Mausam,Drama|Romance|War,   Mausam Drama   Romance   War  ,102
103,Bumm Bumm Bole,Drama|Family|Thriller,   Bumm   Bumm   Bole Drama   Family   Thriller  ,103
104,Ek Second... Jo Zindagi Badal De...,Drama|Romance|Thriller,   Ek   Second   Jo   Zindagi   Badal   De   Drama   Romance   Thriller  ,104
105,I Am,Drama,   I   Am Drama  ,105
106,Seven Sins Forgiven,Drama|Mystery|Thriller,   Seven   Sins   Forgiven Drama   Mystery   Thriller  ,106
107,Tere Bin Laden,Comedy|Drama,   Tere   Bin   Laden Comedy   Drama  ,107
108,Trump Card,Action|Drama|Mystery,   Trump   Card Action   Drama   Mystery  ,108
109,Miss Lovely,Crime|Drama|Romance,   Miss   Lovely Crime   Drama   Romance  ,109
110,Sahi Dhandhe Galat Bande,Action|Comedy|Drama,   Sahi   Dhandhe   Galat   Bande Action   Comedy   Drama  ,110
111,Soch Lo,Action|Crime|Drama,   Soch   Lo Action   Crime   Drama  ,111
112,Udaan,Drama,   Udaan Drama  ,112
113,Mr. Singh/Mrs. Mehta,Drama,   Mr   Singh   Mrs   Mehta Drama  ,113
114,The Film Emotional Atyachar,Comedy|Crime|Drama,   The   Film   Emotional   Atyachar Comedy   Crime   Drama  ,114
115,Help,Horror|Thriller,   Help Horror   Thriller  ,115
116,Turning 30!!!,Comedy|Drama|Romance,   Turning  30   Comedy   Drama   Romance  ,116
117,F.A.L.T.U,Comedy|Drama,   F   A   L   T   U Comedy   Drama  ,117
118,I Hate Luv Storys,Comedy|Drama|Romance,   I   Hate   Luv   Storys Comedy   Drama   Romance  ,118
119,Kushti,Comedy,   Kushti Comedy  ,119
120,Will You Marry Me,Drama,   Will   You   Marry   Me Drama  ,120
121,Tanu Weds Manu,Comedy|Drama|Romance,   Tanu   Weds   Manu Comedy   Drama   Romance  ,121
122,Love U... Mr. Kalakaar!,Drama|Romance,   Love   U   Mr   Kalakaar   Drama   Romance  ,122
123,Tere Mere Phere,Comedy|Drama|Romance,   Tere   Mere   Phere Comedy   Drama   Romance  ,123
124,Ek Main Aur Ekk Tu,Comedy|Drama|Romance,   Ek   Main   Aur   Ekk   Tu Comedy   Drama   Romance  ,124
125,A Decent Arrangement,Comedy|Drama,   A   Decent   Arrangement Comedy   Drama  ,125
126,Tezz,Action|Crime|Drama,   Tezz Action   Crime   Drama  ,126
127,Aakrosh,Action|Crime|Thriller,   Aakrosh Action   Crime   Thriller  ,127
128,Do Dooni Chaar,Comedy|Drama,   Do   Dooni   Chaar Comedy   Drama  ,128
129,Thank You,Comedy,   Thank   You Comedy  ,129
130,Antardwand,Drama,   Antardwand Drama  ,130
131,Dil Toh Baccha Hai Ji,Comedy|Drama|Romance,   Dil   Toh   Baccha   Hai   Ji Comedy   Drama   Romance  ,131
132,Double Dhamaal,Comedy|Crime|Drama,   Double   Dhamaal Comedy   Crime   Drama  ,132
133,Bol Bachchan,Action|Comedy,   Bol   Bachchan Action   Comedy  ,133
134,Bodyguard,Action|Comedy|Romance,   Bodyguard Action   Comedy   Romance  ,134
135,No One Killed Jessica,Biography|Crime|Drama,   No   One   Killed   Jessica Biography   Crime   Drama  ,135
136,Breakaway,Comedy|Drama|Sport,   Breakaway Comedy   Drama   Sport  ,136
